dataset_key,dataset_name,inventory_status,primary_classification,canonical_table,canonical_row_count,canonical_first_date,canonical_last_date,alternate_tables,raw_files_found,snapshot_files_found,source_proof_found,parser_found,ingestion_command_found,tests_found,requested_period_coverage,recoverable_without_download,estimated_recovery_complexity,certification_blocker,evidence,recommended_action,diagnostic_only,production_influence
corporate_actions,Corporate Actions,PRESENT_EMPTY,RAW_DATA_PRESENT,main.corporate_action,0,,,,3,0,False,False,False,False,,True,HIGH,True,canonical=main.corporate_action; canonical_rows=0; alternate_tables=none; raw_files=3; snapshot_files=0; source_proof=False; parser=False; ingestion=False,Implement or connect the parser and ingest existing Corporate Actions evidence.,True,False
security_identity,Security Identity History,PARTIAL,RAW_DATA_PRESENT,main.security_identity,0,,,,2,0,False,False,False,False,,True,HIGH,True,canonical=main.security_identity; canonical_rows=0; alternate_tables=none; raw_files=2; snapshot_files=0; source_proof=False; parser=False; ingestion=False,Implement or connect the parser and ingest existing Security Identity History evidence.,True,False
listing_history,Listing History,MISSING,RAW_DATA_PRESENT,,,,,,1,0,False,False,False,False,,True,HIGH,True,canonical=none; canonical_rows=unknown; alternate_tables=none; raw_files=1; snapshot_files=0; source_proof=False; parser=False; ingestion=False,Implement or connect the parser and ingest existing Listing History evidence.,True,False
trading_calendar,Trading Calendar,DERIVED_ONLY,CERTIFICATION_LOGIC_GAP,,,,,,0,0,False,False,False,False,,True,LOW,True,canonical=none; canonical_rows=unknown; alternate_tables=none; raw_files=0; snapshot_files=0; source_proof=False; parser=False; ingestion=False,Repair Trading Calendar certification logic without downloading data.,True,False
benchmark_history,Benchmark History,MISSING,RAW_DATA_PRESENT,,,,,,71,0,False,False,True,True,,True,HIGH,True,canonical=none; canonical_rows=unknown; alternate_tables=none; raw_files=71; snapshot_files=0; source_proof=False; parser=False; ingestion=True,Implement or connect the parser and ingest existing Benchmark History evidence.,True,False
sector_mapping,Historical Sector Mapping,MISSING,RAW_DATA_PRESENT,,,,,,4,0,True,False,False,True,,True,HIGH,True,canonical=none; canonical_rows=unknown; alternate_tables=none; raw_files=4; snapshot_files=0; source_proof=True; parser=False; ingestion=False,Implement or connect the parser and ingest existing Historical Sector Mapping evidence.,True,False
index_constituents,Historical Index Constituents,MISSING,RAW_DATA_PRESENT,,,,,,2,0,False,False,False,False,,True,HIGH,False,canonical=none; canonical_rows=unknown; alternate_tables=none; raw_files=2; snapshot_files=0; source_proof=False; parser=False; ingestion=False,Implement or connect the parser and ingest existing Historical Index Constituents evidence.,True,False
