candidate_coverage,permitted_use,point_in_time_safe,primitive_source,retains_complete_values,source_state
UNKNOWN,NOT_ADMITTED_WITHOUT_HISTORICAL_WINDOW_AND_VERSION,true,HISTORICAL_TRUTH_CANDLES,false,SOURCE_REFERENCED_NOT_CANDIDATE_WINDOW_BOUND
1,BEL_PARITY_AND_REPLAY,true,DSI002A_FROZEN_BEL_SNAPSHOT,true,AVAILABLE_HASH_VERIFIED
1331,DEFICIT_ATTRIBUTION,true,DSI004_CANDIDATE_INPUT_LEDGER,false,AVAILABLE_HASH_VERIFIED
1331,IDENTITY_AND_DEFICIT_CONTEXT_ONLY,true,DSI003_SUMMARY_ROWS,false,AVAILABLE_HASH_VERIFIED
