captured,field_path,fingerprint_participation,outcome_link_participation,plan_identity_participation,required,serialization,stage_trace_participation
true,input_snapshot.breadth.declines,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.breadth.observed_on,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.breadth.unchanged,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation.correlation_to_index,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation.correlation_to_sector,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation.symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation_by_symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation_by_symbol.BEL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation_by_symbol.HAL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.correlation_by_symbol.LT,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.liquidity_by_symbol,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.liquidity_by_symbol.BEL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.liquidity_by_symbol.HAL,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.liquidity_by_symbol.LT,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[],false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].accumulation_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].action,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].atr,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].benchmark_relative_strength,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].breakdown_attempt,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].breakout_attempt,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].breakout_setup_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].breakout_volume_confirmation,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].close_location_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].current_price,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].distribution_score,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].dma_20,false,false,false,true,CANONICAL_JSON,false
true,input_snapshot.recommendation_candidates[].dma_200,false,false,false,true,CANONICAL_JSON,false
