arm_id,candidate_identity,intervention_stage,intervention_condition,baseline_result,shadow_result,override_mechanism,changed_field_count,changed_condition_count,pre_intervention_drift_count,recommendation_fingerprint,candidate_hash,candidate_identity_unchanged,remaining_failure_count,terminal_institutional_result,semantic_validity,deterministic,defect_codes
ARM-7374A65D1E8A44345997,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_VERDICT.01,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-6CD2E80FC5ED2D54216C,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.01,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-2AF1671320911C62B00F,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.INSUFFICIENT_EVIDENCE.01,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-15FD3DD2EBD81E61C6C3,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.MISSING_TRADE_PLAN.01,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-8D0896715EDE79593D41,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.POOR_DATA_COMPLETENESS.01,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-46DE11917FA19AA78CE1,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.WEAK_SETUP.02,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
ARM-1DB5AA58ABF7BA37EE35,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,institutional_base_decision,INSTITUTIONAL_BASE.PENDING_ENTRY_TRIGGER.02,FAIL,PASS,EXACT_CONDITION_RESULT_PASS_SEAM,1,1,0,04afffd61dea32daa9e86e09b807ba8349fbcc5df496f65f8326c764e1aef998,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,true,9,REJECT,true,true,
