arm_id,candidate_identity,arm_type,base_decision,stress_decision,trade_plan_decision,terminal_institutional_result,transition,unexplained_transition
ARM-7374A65D1E8A44345997,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-6CD2E80FC5ED2D54216C,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-2AF1671320911C62B00F,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-15FD3DD2EBD81E61C6C3,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-8D0896715EDE79593D41,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-46DE11917FA19AA78CE1,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
ARM-1DB5AA58ABF7BA37EE35,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,SINGLE_GATE,REJECT,REJECT,REJECT,REJECT,STILL_REJECTED,false
