stage_order,stage_id,evaluator,observation_mode,stage_invoked,invocation_count
1,institutional_candidate_construction,institutional_candidate_construction,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
2,institutional_base_decision,institutional_base_decision,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
3,institutional_stress,institutional_stress,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
4,institutional_trade_plan_optimizer,institutional_trade_plan_optimizer,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
5,terminal_institutional_decision,terminal_institutional_decision,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
6,portfolio_allocation,portfolio_allocation,CANONICAL_GOVERNED_COMPLETE_STACK,true,1
