candidate_arm_id,economic_candidate_id,invocation_count,observation_mode,result_code,result_state,stage_id,stage_invoked,stage_order
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,institutional_base_decision,true,3
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,REJECT,FAIL,terminal_institutional_decision,true,6
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,SKIP,FAIL,portfolio_allocation,true,7
0009fc5f4c6286c75b88012abf9cb2b14bc3fb9fe4009653ccbac8c70d610615,a250dd6a0d3d25d5d776d8916feb759c270689c00ba2a48cb18e057586422267,1,SIGNED_RECORDED_COMPLETE_STACK,UPSTREAM_DECISION_REJECTED,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,5
00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,1,SIGNED_RECORDED_COMPLETE_STACK,BASE_DECISION_REJECTED,NOT_APPLICABLE,institutional_stress,true,4
00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,1,SIGNED_RECORDED_COMPLETE_STACK,CANDIDATE_CONSTRUCTED,PASS,institutional_candidate_construction,true,2
00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,1,SIGNED_RECORDED_COMPLETE_STACK,PAYLOAD_HASH_BOUND,PASS,recorded_payload,true,8
00141a418d665a11d8f6ae40d11384bcd04b0446ac7a5b4a39d7810bb4b5a8b9,13b1c6d14117c80bc6688c312778fdaa783f5b83c288e6447f7b074f2d801f1e,1,SIGNED_RECORDED_COMPLETE_STACK,RECOMMENDATION_GENERATED,PASS,recommendation,true,1
