count,interpretation,metric
1331,PRIMARY_EMPIRICAL_UNIT,independent_candidates
1,SIGNED_REHYDRATABLE_INPUT,exact_dsi002_candidates_processed
1330,NOT_AN_EXACT_OVERRIDE_REPLAY,recorded_stage_candidates_attributed
1,CANDIDATE_COUNT_NOT_GATE_COUNT,exact_candidates_with_eligible_gates
0,CANDIDATE_COUNT_NOT_SET_COUNT,exact_candidates_with_sufficient_sets
0,EXACT_DSI002_ONLY,shadow_approvals
0,EXACT_DSI002_ONLY,shadow_trades
0,EXACT_DSI002_ONLY,comparable_shadow_outcomes
