loss_class,loss_count,policy_rejection_counted_as_population_loss,reason,silent_drop,transition
DUPLICATION_REMOVAL,2981,false,SOURCE_DEDUPLICATION,false,source_rows->admissible_rows
DUPLICATION_REMOVAL,1330,false,RAW_ADJUSTED_PAIRING,false,point_in_time_valid_rows->unique_economic_candidates
EVIDENCE_LOSS,1173,false,EVIDENCE_NOT_CAPTURED,false,terminal_decisions->candidates_with_recorded_plans
END_OF_WINDOW_OR_GENUINE_NON_OCCURRENCE,72,false,CENSORING_OR_NO_PLAN,false,candidates_with_recorded_plans->candidates_with_completed_outcomes
