field,old_value,new_value,classification
recommendation_identity,BEL,BEL,NO_DIFFERENCE
recommendation_and_allocation_payload,1ad037c4a68324a9e372c721da99e719d3542cfac01732b41a05780ae1c8c581,1ad037c4a68324a9e372c721da99e719d3542cfac01732b41a05780ae1c8c581,NO_DIFFERENCE
institutional_candidate,NOT_PRESENT,BEL,NEWLY_OBSERVABLE_SAME_TERMINAL_DECISION
institutional_base_stress_trade_plan,NOT_PRESENT,RECORDED,EXPLAINED_STAGE_TRACE_ENRICHMENT
terminal_institutional_state,WATCHLIST,REJECT,LEGITIMATE_COMPLETE_STACK_DECISION_DIFFERENCE
allocation_state,SKIP,SKIP,NO_DIFFERENCE
recorded_decision_payload,1ad037c4a68324a9e372c721da99e719d3542cfac01732b41a05780ae1c8c581,0c211e32eb6879bfb8a694675226b4fd63520040f7eabc165cf7833dc7f5e2d1,EXPLAINED_SERIALISATION_ENRICHMENT
