source_id,contract_version,certificate_sha256,internal_report_sha256,support_sha256
DSI-002A,DSI-002A-v1.0.0,22d075439746a700364fcb1dac6147e0cf3dd31dedfa2cfd06a407300cad24dd,ae263932c161416fb4c6e05a7e8542eb27c217567a39da2c91f0abd29fe6803d,36d0198b3f44063dd3d00246312ea913e83e5ab61e9565d7836dfdf1228a51a4
DSI-002B,DSI-002B-v1.0.0,5a5ccbab6bbae06bab104e21c3ee18157086fa4c3f474ccd6dcb63370bb7d09a,35f20b521e75a4130eca6f9834e6504abf782dec855181540c9e9918c2236c5b,c0cfbc6ac07a5d17f2e44e5cf1fbd5aa375324cdfea598953b3e3d73aa1a94ac
DSI-002C,DSI-002C-v1.0.0,3a89f392901def77debe477da2e0428f8e951994ec52373ca9c9fff515b4f7a0,9e72ba62bc018d78b88e11cba504ba8865e85dbbe8dd46950e14b654c142f9f8,cd57ff0a5717a2f3c7df1ea56119080a6b428dc6899476aa1b896c7043d9c69c
DSI-002D,DSI-002D-v1.0.0,5ba0c0b6443684b4f835e59dc066247dd536f0f39d90197c61bb8176a2eb408e,bd2dfb00a0539cbd02bacda432596d83ca725d8a159c2495f0024ca1184d76ee,a4f6e31c50153371bef2a04e26619f1d5bda9b74961cb386bd374c6783ae2192
