automatic_deletion,evidence_type,immutable,migration_policy
false,SNAPSHOT_PACKAGE,true,DERIVED_REPRESENTATION_RETAINS_ORIGINAL_BYTES
false,OUTCOME_EVENT,true,CORRECTION_EVENT_REFERENCES_PRIOR_EVENT
false,INDEX,false,DETERMINISTICALLY_REBUILDABLE_FROM_PACKAGES
