canonical_field,current_default_applied,drift_class,historical_field,historical_schema,mapping_status
recommendation,false,HISTORICAL_VERSION_UNKNOWN,summary_row,B5_CANDIDATE_SUMMARY_V1,INSUFFICIENT_FOR_OBJECT_REHYDRATION
recommendation.action,false,STABLE,action,INTELLIGENCE_RUN_RECOMMENDATION_V1,EXACT
recommendation.allocation|expected_value|opportunity_cost,false,TYPE_CHANGED_WITH_EXACT_MAPPING,allocation_percent|expected_return|expected_drawdown,INTELLIGENCE_RUN_RECOMMENDATION_V1,TOP_LEVEL_SUMMARY_ONLY
recommendation.decision,false,STABLE,decision,INTELLIGENCE_RUN_RECOMMENDATION_V1,EXACT
recommendation.explanation,false,STABLE,explanation,INTELLIGENCE_RUN_RECOMMENDATION_V1,EXACT
recommendation.score,false,STABLE,score,INTELLIGENCE_RUN_RECOMMENDATION_V1,EXACT
recommendation.symbol,false,STABLE,symbol,INTELLIGENCE_RUN_RECOMMENDATION_V1,EXACT
