check,expected,observed,reconciled
ADMITTED_COMPLETE_STACK,1,true,true
ADMITTED_PLUS_EXCLUDED,1331,1331,true
BATCH_DSI002_CANDIDATE,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true
DSI003_ECONOMIC_POPULATION,1331,1331,true
PROBE_CONTAMINATION,0,0,true
