candidate_identity,canonical_stage_order,invocation_count,output_sha256,result_state,stage_id,stage_invoked,stage_order,stage_reached
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,2231d6eafa88c7a877d4bf19bbfe7f0fc2959b05242b4ca155991393b61e74ec,PASS,institutional_candidate_construction,true,1,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,384d313c03c7161a422a50a8fefcb0b740167d36e92d8912836923459401e18a,FAIL,portfolio_allocation,true,6,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,6dee6c85a2908b71b86f67282cd3c2b53317172d0d32a65af44362aea6fc48ad,FAIL,institutional_base_decision,true,2,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,6dee6c85a2908b71b86f67282cd3c2b53317172d0d32a65af44362aea6fc48ad,FAIL,terminal_institutional_decision,true,5,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,6dee6c85a2908b71b86f67282cd3c2b53317172d0d32a65af44362aea6fc48ad,NOT_APPLICABLE,institutional_stress,true,3,true
RAW|2026-07-26|BEL|6b6510eca6894beee800c225fe780a37521498115880cbf2cc0db50b3d8adeda,true,1,6dee6c85a2908b71b86f67282cd3c2b53317172d0d32a65af44362aea6fc48ad,NOT_APPLICABLE,institutional_trade_plan_optimizer,true,4,true
