dataset_key,usable_raw_files,generated_or_excluded_files,code_files,source_proof_files,classification,evidence_paths,recommended_action,diagnostic_only,production_influence
corporate_actions,0,0,2,0,EVIDENCE_ONLY_NO_USABLE_RAW_DATA,alpha/point_in_time_universe/corporate_actions.py;alpha/market_truth/corporate_action_service.py;.alpha/warehouse_delta/WDA_v1.0/corporate_action_delta.csv;.alpha/data_platform/HTA_v1.0/corporate_actions.parquet;.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/corporate_actions.csv,Do not ingest corporate_actions; inspect listed evidence paths first.,True,False
security_identity,1,2,1,0,RAW_DATA_CONFIRMED,alpha/point_in_time_universe/security_master.py;.alpha/data_platform/HTA_v1.0/security_master.json;.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/security_master.json;iris-desktop/node_modules/@babel/helpers/lib/helpers/assertThisInitialized.js;iris-desktop/node_modules/@babel/helpers/lib/helpers/assertThisInitialized.js.map,Build governed ingestion for confirmed security_identity records.,True,False
listing_history,1,0,2,0,RAW_DATA_CONFIRMED,alpha/point_in_time_universe/delisting_history.py;alpha/point_in_time_universe/listing_history.py;.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/listing_history.csv,Build governed ingestion for confirmed listing_history records.,True,False
delisting_history,0,0,1,0,EVIDENCE_ONLY_NO_USABLE_RAW_DATA,alpha/point_in_time_universe/delisting_history.py,Do not ingest delisting_history; inspect listed evidence paths first.,True,False
benchmark_history,0,3,4,0,EVIDENCE_ONLY_NO_USABLE_RAW_DATA,docs/CANONICAL_ALPHA_BENCHMARK_REPLAY.md;alpha/market_intelligence/benchmark.py;alpha/strategy_lab/benchmarking.py;alpha/portfolio/optimizer_benchmark.py;alpha/application/benchmark_cli.py;tests/market_intelligence/test_benchmark_market_state.py;tests/portfolio/test_optimizer_benchmark.py;.alpha/benchmark/ALPHA_BASELINE_v1.0/benchmark_comparison.csv;.alpha/benchmark/CABR_RESEARCH_160CAB0CD8A5535A/benchmark_comparison.csv;.alpha/benchmark/DSA_V1_INPUT_2026-01-01_2026-07-20/benchmark_comparison.csv;.alpha/benchmark/CABR_RESEARCH_17398C2FB4A62D67/benchmark_comparison.csv;.alpha/benchmark/CABR_RESEARCH_8F04C1344335A809/benchmark_comparison.csv,Do not ingest benchmark_history; inspect listed evidence paths first.,True,False
sector_mapping,0,1,2,1,EVIDENCE_ONLY_NO_USABLE_RAW_DATA,alpha/point_in_time_universe/sector_history.py;alpha/market_intelligence/sector_source_feasibility.py;alpha/market_intelligence/historical_sector.py;tests/market_intelligence/test_sector_source_feasibility.py;.alpha/canonical_integrity/ALPHA_CANONICAL_v1.0/acu_after_drawdown_repair/sector_opportunities.csv;.alpha/canonical_integrity/ALPHA_CANONICAL_v1.0/acu_before/sector_opportunities.csv;.alpha/acu/ALPHA_CANONICAL_v1.0/sector_opportunities.csv;.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/sector_history.csv,Do not ingest sector_mapping; inspect listed evidence paths first.,True,False
index_constituents,0,0,2,0,EVIDENCE_ONLY_NO_USABLE_RAW_DATA,alpha/point_in_time_universe/index_membership.py;alpha/historical_truth_acquisition/index_membership.py;.alpha/data_platform/HTA_v1.0/index_membership.parquet;.alpha/point_in_time_universe/POINT_IN_TIME_UNIVERSE_v1.0/index_membership_changes.csv,Do not ingest index_constituents; inspect listed evidence paths first.,True,False
