control,passed,result
SECRET_SCAN,true,NO_SECRETS
PATH_TRAVERSAL,true,UNSAFE_RELATIVE_COMPONENTS_REJECTED
PRODUCTION_WRITE,true,RESEARCH_ROOT_ONLY
