stage_order,stage_id,evaluator,source_file,source_sha256,policy_configuration_sha256,governed_execution_mode,default_runtime_enabled,expected_invocations_per_candidate
1,institutional_candidate_construction,candidate_from_recommendation,alpha/decision_intelligence/engine.py,db97c1e6df848015f180f934ae7e170a0224953ee6a939cbd791901c2641d198,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
2,institutional_base_decision,InstitutionalDecisionEngine._decision,alpha/decision_intelligence/engine.py,db97c1e6df848015f180f934ae7e170a0224953ee6a939cbd791901c2641d198,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
3,institutional_stress,DecisionStressTestEngine.stress_test,alpha/decision_intelligence/stress.py,34476ce8eed112c591db479f2596725824126bef691abebd242a44d54515bfa5,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
4,institutional_trade_plan_optimizer,TradePlanOptimizationEngine.optimize_decision,alpha/decision_intelligence/tradeplan.py,35e7462226e8e2c74980ea2381c515d9b2cc5de2035805f078dfda9377f1a48d,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
5,terminal_institutional_decision,InstitutionalDecisionReport,alpha/decision_intelligence/models.py,f7b59b8e36556e339f8979a0d9fcc7bf3f14b0cbf179578f2b33880c749c028d,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
6,portfolio_allocation,PortfolioConstructionEngine.construct,alpha/portfolio_intelligence/allocation.py,c0de34b55c836fe535895795e6f9f650f1618b101b3e3f01d5efebbd4814b76a,9166e6f533d75b7c0946ed533996ea51ff5568391261a0868d7b67f12b3d03ca,true,false,1
